citation,context_text,extracted_text,predicted_label
"ע""פ 6548/17","בתי המשפט שבו ועמדו על החומרה הגלומה בעבירות הסמים, ומדיניות הענישה הצריכה להינקט כלפי כלל המעורבים בשרשרת הפצת הסם. הערכים החברתיים המוגנים העומדים ביסוד עבירת הסחר הינם הסדר הציבורי, שלום הציבור ובריאותו. אין צורך להכביר במילים אודות שיעור הנזק, הישיר והעקיף, הנגרם למשתמשי הסם, בני משפחותיהם והציבור בכללותו, וזאת בפרט שעה שמדובר בסמים קשים.
לצד האמור בפסיקה נקבע מנעד ענישה רחב, הנקבע בין היתר מסוג הסם, כמותו, ומידת מרכזיותו של הנאשם בשרשרת הפצת הסם (ע""פ 6548/17  לבדב נ' מדינת ישראל (נבו 30/1/2018)).
במקרה שלפני, מדובר בעבירת סחר אחת בסם מסוכן מסוג קוקאין, שלא קדם לה תכנון מוקדם, ובהיקף עסקה זעיר. אמנם נסיבות המכירה עלולות להעיד על זמינות הנאשם לסם, אך מנגד מדובר בעסקה בודדת בשווי 100 ₪ בלבד, ובכמות סם קטנה, אף ביחס לשיעורי ההחזקה העצמית הקבועים בתוספת השניה לפקודת הסמים המסוכנים (בענייננו 0.0882 גרם אל מול רף ההחזקה לצריכה עצמית של קוקאין העומד על 0.3 גרם). בנסיבות אלו, לא שוכנעתי כי האישום כשלעצמו מלמד על מרכזיות הנאשם בשרשרת הפצת הסם או על היותו סוחר סמים, וזאת מבלי להתעלם מעברו המכביד בעבירות סחר.","לצד האמור בפסיקה נקבע מנעד ענישה רחב, הנקבע בין היתר מסוג הסם, כמותו, ומידת מרכזיותו של הנאשם בשרשרת הפצת הסם (ע""פ 6548/17  לבדב נ' מדינת ישראל (נבו 30/1/2018)).",0
"רע""פ 126/15","אשר על כן צודק ב""כ הנאשם כי המקרים בפסיקה אליהם הפנתה המאשימה אינם תואמים את חומרת המקרה שבפני. אפרט:
ברע""פ 126/15 חביף נ' מדינת ישראל (נבו 15.01.15) נדון עניינו של נאשם שמכר סם מסוכן מסוג קוקאין לסוכן משטרתי בשלושה אירועים שונים. משקלי המכירה בכל אחת מהעסקאות עלו על רף ההחזקה העצמית המינימלית (0.39 גרם, 0.81 גרם ו-2.5 גרם). באותו מקרה אושר מתחם עונש לכל מכירה הנע בין 8 ל-18 חודשי מאסר, תוך שצוין כי המתחם הולם ואף מקל.
ברע""פ 8408/15 חביב נ' מדינת ישראל (נבו 9.12.15), נדון עניינו של נאשם שהורשע בעבירות סחר והחזקת סמים שלא לצריכה עצמית, בשלושה אירועים שונים. במקרה זה העסקאות כללו תכנון ותיאום מוקדם, ונסיבות המכירות עלו באופן ניכר על רף ההחזקה המינימלית (1.1 גרם, 10 אריזות במשקל העולה על 5 גרם, ואריזות במשקל העולה על 15 גרם). גם שם אושר מתחם עונש לכל מכירה הנע בין 8 ל-18 חודשי מאסר בפועל.","ברע""פ 126/15 חביף נ' מדינת ישראל (נבו 15.01.15) נדון עניינו של נאשם שמכר סם מסוכן מסוג קוקאין לסוכן משטרתי בשלושה אירועים שונים. משקלי המכירה בכל אחת מהעסקאות עלו על רף ההחזקה העצמית המינימלית (0.39 גרם, 0.81 גרם ו-2.5 גרם). באותו מקרה אושר מתחם עונש לכל מכירה הנע בין 8 ל-18 חודשי מאסר, תוך שצוין כי המתחם הולם ואף מקל.",1
"רע""פ 8408/15","ברע""פ 126/15 חביף נ' מדינת ישראל (נבו 15.01.15) נדון עניינו של נאשם שמכר סם מסוכן מסוג קוקאין לסוכן משטרתי בשלושה אירועים שונים. משקלי המכירה בכל אחת מהעסקאות עלו על רף ההחזקה העצמית המינימלית (0.39 גרם, 0.81 גרם ו-2.5 גרם). באותו מקרה אושר מתחם עונש לכל מכירה הנע בין 8 ל-18 חודשי מאסר, תוך שצוין כי המתחם הולם ואף מקל.
ברע""פ 8408/15 חביב נ' מדינת ישראל (נבו 9.12.15), נדון עניינו של נאשם שהורשע בעבירות סחר והחזקת סמים שלא לצריכה עצמית, בשלושה אירועים שונים. במקרה זה העסקאות כללו תכנון ותיאום מוקדם, ונסיבות המכירות עלו באופן ניכר על רף ההחזקה המינימלית (1.1 גרם, 10 אריזות במשקל העולה על 5 גרם, ואריזות במשקל העולה על 15 גרם). גם שם אושר מתחם עונש לכל מכירה הנע בין 8 ל-18 חודשי מאסר בפועל.
וכן ברע""פ 5494/19 רנד נ' מדינת ישראל (נבו 22.8.19) נדון עניינו של נאשם שהורשע בעבירת סחר והחזקת סם שלא לצריכה עצמית. באותו מקרה העסקה בוצעה מול שני לקוחות, ונמכרו במסגרתה שלוש יחידות קריסטל, כשבמקביל החזיק הנאשם ברכבו 11 יחידות של הרואין ו-8 יחידות של קוקאין. בנסיבות אלה נקבע מתחם ענישה הנע בין 6 ל- 18 חודשי מאסר בפועל.","ברע""פ 8408/15 חביב נ' מדינת ישראל (נבו 9.12.15), נדון עניינו של נאשם שהורשע בעבירות סחר והחזקת סמים שלא לצריכה עצמית, בשלושה אירועים שונים. במקרה זה העסקאות כללו תכנון ותיאום מוקדם, ונסיבות המכירות עלו באופן ניכר על רף ההחזקה המינימלית (1.1 גרם, 10 אריזות במשקל העולה על 5 גרם, ואריזות במשקל העולה על 15 גרם). גם שם אושר מתחם עונש לכל מכירה הנע בין 8 ל-18 חודשי מאסר בפועל.",1
"רע""פ 5494/19","ברע""פ 8408/15 חביב נ' מדינת ישראל (נבו 9.12.15), נדון עניינו של נאשם שהורשע בעבירות סחר והחזקת סמים שלא לצריכה עצמית, בשלושה אירועים שונים. במקרה זה העסקאות כללו תכנון ותיאום מוקדם, ונסיבות המכירות עלו באופן ניכר על רף ההחזקה המינימלית (1.1 גרם, 10 אריזות במשקל העולה על 5 גרם, ואריזות במשקל העולה על 15 גרם). גם שם אושר מתחם עונש לכל מכירה הנע בין 8 ל-18 חודשי מאסר בפועל.
וכן ברע""פ 5494/19 רנד נ' מדינת ישראל (נבו 22.8.19) נדון עניינו של נאשם שהורשע בעבירת סחר והחזקת סם שלא לצריכה עצמית. באותו מקרה העסקה בוצעה מול שני לקוחות, ונמכרו במסגרתה שלוש יחידות קריסטל, כשבמקביל החזיק הנאשם ברכבו 11 יחידות של הרואין ו-8 יחידות של קוקאין. בנסיבות אלה נקבע מתחם ענישה הנע בין 6 ל- 18 חודשי מאסר בפועל.
אציין כי לא מצאתי בפסיקה מתחם התואם את הנסיבות שבפנינו, ואולם לשם ההשוואה מצאתי להביא בנוסף את פסקי הדין הבאים, תוך שימת לב לנסיבותיהם החמורות יחסית:","וכן ברע""פ 5494/19 רנד נ' מדינת ישראל (נבו 22.8.19) נדון עניינו של נאשם שהורשע בעבירת סחר והחזקת סם שלא לצריכה עצמית. באותו מקרה העסקה בוצעה מול שני לקוחות, ונמכרו במסגרתה שלוש יחידות קריסטל, כשבמקביל החזיק הנאשם ברכבו 11 יחידות של הרואין ו-8 יחידות של קוקאין. בנסיבות אלה נקבע מתחם ענישה הנע בין 6 ל- 18 חודשי מאסר בפועל.",1
"רע""פ 65/15","אציין כי לא מצאתי בפסיקה מתחם התואם את הנסיבות שבפנינו, ואולם לשם ההשוואה מצאתי להביא בנוסף את פסקי הדין הבאים, תוך שימת לב לנסיבותיהם החמורות יחסית:
ברע""פ 65/15 מסראווה נ' מדינת ישראל  (נבו 13.1.2015) נדחתה בקשת רשות ערעור של מי שהורשע בשתי עבירות של סחר בקוקאין תמורת 200 ש""ח. באותו מקרה נקבע מתחם ענישה של 18-6 חודשי מאסר בגין שני אירועי הסחר.
ברע""פ 7681/13 דקה נ' מדינת ישראל  (נבו 21.1.2014) נדחתה בקשת רשות ערעור של נאשם שנדון ל-10 חודשי מאסר בגין שתי עבירות של סחר בסם מסוכן מסוג הרואין במשקל מצטבר של כשלושה גרם. מתחם הענישה שנקבע באותו מקרה היה 12-6 חודשי מאסר לכל אחת ממכירות הסם.","ברע""פ 65/15 מסראווה נ' מדינת ישראל  (נבו 13.1.2015) נדחתה בקשת רשות ערעור של מי שהורשע בשתי עבירות של סחר בקוקאין תמורת 200 ש""ח. באותו מקרה נקבע מתחם ענישה של 18-6 חודשי מאסר בגין שני אירועי הסחר.",1
"רע""פ 7681/13","ברע""פ 65/15 מסראווה נ' מדינת ישראל  (נבו 13.1.2015) נדחתה בקשת רשות ערעור של מי שהורשע בשתי עבירות של סחר בקוקאין תמורת 200 ש""ח. באותו מקרה נקבע מתחם ענישה של 18-6 חודשי מאסר בגין שני אירועי הסחר.
ברע""פ 7681/13 דקה נ' מדינת ישראל  (נבו 21.1.2014) נדחתה בקשת רשות ערעור של נאשם שנדון ל-10 חודשי מאסר בגין שתי עבירות של סחר בסם מסוכן מסוג הרואין במשקל מצטבר של כשלושה גרם. מתחם הענישה שנקבע באותו מקרה היה 12-6 חודשי מאסר לכל אחת ממכירות הסם.
בעפ""ג (מרכז-לוד) 9680-01-22 טוגנטמן נ' מדינת ישראל )נבו 3.7.23) נדון עניינו של נאשם שהורשע בתיווך לסחר בסם LSD  בבקבוקן שהכיל 0.1 מ""מ, אותו מסר לסוכן משטרתי. באותו מקרה נקבע מתחם עונש הנע בין מספר חודשי מאסר ועד 12 חודשים, ובהסכמת הצדדים בערעור הועמד עונשו של הנאשם על 9 חודשי מאסר בעבודות שירות.","ברע""פ 7681/13 דקה נ' מדינת ישראל  (נבו 21.1.2014) נדחתה בקשת רשות ערעור של נאשם שנדון ל-10 חודשי מאסר בגין שתי עבירות של סחר בסם מסוכן מסוג הרואין במשקל מצטבר של כשלושה גרם. מתחם הענישה שנקבע באותו מקרה היה 12-6 חודשי מאסר לכל אחת ממכירות הסם.",1
"עפ""ג (מרכז-לוד) 9680-01-22","ברע""פ 7681/13 דקה נ' מדינת ישראל  (נבו 21.1.2014) נדחתה בקשת רשות ערעור של נאשם שנדון ל-10 חודשי מאסר בגין שתי עבירות של סחר בסם מסוכן מסוג הרואין במשקל מצטבר של כשלושה גרם. מתחם הענישה שנקבע באותו מקרה היה 12-6 חודשי מאסר לכל אחת ממכירות הסם.
בעפ""ג (מרכז-לוד) 9680-01-22 טוגנטמן נ' מדינת ישראל )נבו 3.7.23) נדון עניינו של נאשם שהורשע בתיווך לסחר בסם LSD  בבקבוקן שהכיל 0.1 מ""מ, אותו מסר לסוכן משטרתי. באותו מקרה נקבע מתחם עונש הנע בין מספר חודשי מאסר ועד 12 חודשים, ובהסכמת הצדדים בערעור הועמד עונשו של הנאשם על 9 חודשי מאסר בעבודות שירות.
לאור האמור, בהינתן עסקה בודדת וכמות סם מסוג קוקאין המצויה בטווח ההחזקה לצריכה עצמית, מצאתי לקבוע מתחם ענישה הנע בין 4 ל-12 חודשי מאסר בפועל.","בעפ""ג (מרכז-לוד) 9680-01-22 טוגנטמן נ' מדינת ישראל )נבו 3.7.23) נדון עניינו של נאשם שהורשע בתיווך לסחר בסם LSD בבקבוקן שהכיל 0.1 מ""מ, אותו מסר לסוכן משטרתי. באותו מקרה נקבע מתחם עונש הנע בין מספר חודשי מאסר ועד 12 חודשים, ובהסכמת הצדדים בערעור הועמד עונשו של הנאשם על 9 חודשי מאסר בעבודות שירות.",1
"ת""פ (שלום רח') 47605-05-12","באשר לעבירת החזקת רכוש החשוד כגנוב, הערך החברתי המוגן בעבירה זו הינו הגנה על קניינו שלומו ובטחונו של הפרט. במקרה שבפני, הנאשם רכש מיטלטלין במחיר נמוך משמעותית משווים, ובכך הקים את יסודות העבירה. מעשיו לא לוו בביצוע עבירות נוספות מתחום הרכוש, הוא עצמו לא נחשד כמעורב בגניבה, וממילא הפגיעה בערך המוגן מצויה ברף הנמוך ביותר.
בחינת הפסיקה מעלה כי מתחם הענישה בגין עבירה זו, אף בנסיבות חמורות מאלו שבפנינו, נע משל""צ והתחייבות ועד מאסר מותנה. ראו ת""פ (שלום רח') 47605-05-12 מדינת ישראל נ' מוסיס (נבו 03.03.2014), ת""פ 5861/09 מדינת ישראל נ' כלבוני (נבו 14.2.10); ת""פ 1994/08 מדינת ישראל נ' קרינאוי (8.2.10); ת""פ 1515/06 מדינת ישראל נ' אמיל חסן (נבו 9.12.12).
מכאן לנאשם:","בחינת הפסיקה מעלה כי מתחם הענישה בגין עבירה זו, אף בנסיבות חמורות מאלו שבפנינו, נע משל""צ והתחייבות ועד מאסר מותנה. ראו ת""פ (שלום רח') 47605-05-12 מדינת ישראל נ' מוסיס (נבו 03.03.2014)",0
"ת""פ 5861/09","באשר לעבירת החזקת רכוש החשוד כגנוב, הערך החברתי המוגן בעבירה זו הינו הגנה על קניינו שלומו ובטחונו של הפרט. במקרה שבפני, הנאשם רכש מיטלטלין במחיר נמוך משמעותית משווים, ובכך הקים את יסודות העבירה. מעשיו לא לוו בביצוע עבירות נוספות מתחום הרכוש, הוא עצמו לא נחשד כמעורב בגניבה, וממילא הפגיעה בערך המוגן מצויה ברף הנמוך ביותר.
בחינת הפסיקה מעלה כי מתחם הענישה בגין עבירה זו, אף בנסיבות חמורות מאלו שבפנינו, נע משל""צ והתחייבות ועד מאסר מותנה. ראו ת""פ (שלום רח') 47605-05-12 מדינת ישראל נ' מוסיס (נבו 03.03.2014), ת""פ 5861/09 מדינת ישראל נ' כלבוני (נבו 14.2.10); ת""פ 1994/08 מדינת ישראל נ' קרינאוי (8.2.10); ת""פ 1515/06 מדינת ישראל נ' אמיל חסן (נבו 9.12.12).
מכאן לנאשם:","בחינת הפסיקה מעלה כי מתחם הענישה בגין עבירה זו, אף בנסיבות חמורות מאלו שבפנינו, נע משל""צ והתחייבות ועד מאסר מותנה. ראו ת""פ 5861/09 מדינת ישראל נ' כלבוני (נבו 14.2.10)",0
"ת""פ 1994/08","באשר לעבירת החזקת רכוש החשוד כגנוב, הערך החברתי המוגן בעבירה זו הינו הגנה על קניינו שלומו ובטחונו של הפרט. במקרה שבפני, הנאשם רכש מיטלטלין במחיר נמוך משמעותית משווים, ובכך הקים את יסודות העבירה. מעשיו לא לוו בביצוע עבירות נוספות מתחום הרכוש, הוא עצמו לא נחשד כמעורב בגניבה, וממילא הפגיעה בערך המוגן מצויה ברף הנמוך ביותר.
בחינת הפסיקה מעלה כי מתחם הענישה בגין עבירה זו, אף בנסיבות חמורות מאלו שבפנינו, נע משל""צ והתחייבות ועד מאסר מותנה. ראו ת""פ (שלום רח') 47605-05-12 מדינת ישראל נ' מוסיס (נבו 03.03.2014), ת""פ 5861/09 מדינת ישראל נ' כלבוני (נבו 14.2.10); ת""פ 1994/08 מדינת ישראל נ' קרינאוי (8.2.10); ת""פ 1515/06 מדינת ישראל נ' אמיל חסן (נבו 9.12.12).
מכאן לנאשם:","בחינת הפסיקה מעלה כי מתחם הענישה בגין עבירה זו, אף בנסיבות חמורות מאלו שבפנינו, נע משל""צ והתחייבות ועד מאסר מותנה. ראו ת""פ 1994/08 מדינת ישראל נ' קרינאוי (8.2.10);",0
