verdict,appeal,url
"ת""פ 8057/07","ע""פ 1235∕09",
"ת""פ 8171/06","ע""פ 761∕07",
פ 164/08,"ע""פ 5220∕09",
"ת""פ 5187-07-10","ע""פ 9373∕10",http://www.nevo.co.il/links/psika/?NEWPROC=תפ&NEWPARTA=5187&NEWPARTB=07&NEWPARTC=10
תיק 3/10,"ע""פ 4329∕10",
"ת""פ 8311/09","ע""פ 8956∕10",http://www.nevo.co.il/case/2526011
ת.פ. 22509-09-09,"ע""פ 5203∕10",http://www.nevo.co.il/case/4418530
ת.פ 3001-05-10,"ע""פ 2251∕11",http://www.nevo.co.il/links/psika/?NEWPROC=תפ&NEWPARTA=3001&NEWPARTB=05&NEWPARTC=10
"ת""פ 11904-09-10","ע""פ 4435∕11",http://www.nevo.co.il/case/5810378
"ת""פ 12811-04-11","ע""פ 5604∕11",http://www.nevo.co.il/case/2592575
"ת""פ 241770-07-10","ע""פ 3156∕11",http://www.nevo.co.il/links/psika/?NEWPROC=תפ&NEWPARTA=241770&NEWPARTB=07&NEWPARTC=10
"ת""פ 30145-12-11","ע""פ 2405∕12",http://www.nevo.co.il/links/psika/?NEWPROC=תפ&NEWPARTA=30145&NEWPARTB=12&NEWPARTC=11
"ת""פ 13333-12-11","ע""פ 8731∕12",http://www.nevo.co.il/case/2599538
"ת""פ 24215-06-13","ע""פ 2422∕14",http://www.nevo.co.il/case/7827259
"ת""פ 31498-01-16","ע""פ 6327∕17",http://www.nevo.co.il/case/20886638
"ע""פ 17891-03-14","ע""פ 8133∕15",
"ת""פ 61852-10-13","ע""פ 649∕15",http://www.nevo.co.il/case/8476828
"ת""פ 5037-10-16","ע""פ 6347∕17",http://www.nevo.co.il/case/21522727
"ת""פ 57599-07-15","ע""פ 6928∕17",http://www.nevo.co.il/case/20474057
"ת""פ 53715-12-15","ע""פ 9702∕16",http://www.nevo.co.il/case/20824881
"ת""פ 40313-09-15","ע""פ 3336∕18",http://www.nevo.co.il/case/20590832
"ת""פ 9983-05-16","ע""פ 135∕17",http://www.nevo.co.il/case/21659433
"ת""פ 8684-06-16","ע""פ 3511∕17",http://www.nevo.co.il/case/21904972
