verdict,text,part
תפ (נצ') 3252∕02,"חוק סדר הדין הפלילי [נוסח משולב], תשמ""ב-1982: סע'  144",חקיקה שאוזכרה: 
תפ (נצ') 3252∕02,"פקודת התעבורה [נוסח חדש]: סע'  2, 38(2)ו, (3), 40, 62, 62(2), 62(8), 64 א(א), 67, 68",חקיקה שאוזכרה: 
תפ (נצ') 3252∕02,"פקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970: סע'  2 (א), ב)",חקיקה שאוזכרה: 
תפ (נצ') 3252∕02,"תקנות התעבורה, תשכ""א-1961 - לא מרובדות: סע'  21 (ב)(2), (ג), 22 (א), 23(א) (1), 26  (1), (2), (4), 54(א), 64(ד)",חקיקה שאוזכרה: 
תפ (נצ') 3252∕02,"חוק העונשין, תשל""ז-1977: סע'  51 י., 186(א), 192, 275, 379, 381(א) (3)",חקיקה שאוזכרה: 
תפ (נצ') 3252∕02,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973",חקיקה שאוזכרה: 
תפ (נצ') 3252∕02,"הנאשם הורשע בכך כי ביום 11.7.02 סמוך לשעה 17:50, נהג ברכב פרטי מסוג מרצדס מ.ר 85-777-87 (להלן:ב""הרכב""), ברח' דרך העמק בנצרת עלית כשעימו אחר המכונה בשם עומר ( להלן:ו""עומר""). ",הנאשם הורשע בביצוע המעשים הבאים:נ
תפ (נצ') 3252∕02,"הנאשם נהג ברכב בהיותו פסול מלנהוג ברכב בגין פסק דין שניתן נגדו, מבלי שהיה לרכב רשיון רכב (טסט) בתוקף, ללא פוליסת ביטוח בת תוקף וכן כשהוא נמצא  במצב העלול למנוע שליטתו ברכב ולסכן עוברי דרך אחרים.",הנאשם הורשע בביצוע המעשים הבאים:נ
תפ (נצ') 3252∕02,"הנאשם הורשע כי נהג במהירות מופרזת של 90 קמ""ש בדרך עירונית בה המהירות המותרת הינה 50 קמ""ש, לא ציית להוראת שוטר אשר סימן לו לעצור האיץ את נסיעתו וברח מהמקום.",הנאשם הורשע בביצוע המעשים הבאים:נ
תפ (נצ') 3252∕02,"תוך כדי מנוסתו, נכנס הנאשם לצומת, בה היה מוצב בכיוון נסיעתו תמרור ב- 37 אשר מורה על עצירה מוחלטת בטרם הכניסה לצומת, וזאת מבלי שהגיע כדי עצירה מוחלטת וכתוצאה מכך פגע רכבו ברכב מסוג אופל מ.ר 10-930-18 (להלן:נ""האופל"") אשר היה נהוג ע""י אלה ברצידנסקי, תוך שהוא גורם לפציעתם של הנהגת ובנה הקטין אשר היה עמה ברכבה.",הנאשם הורשע בביצוע המעשים הבאים:נ
תפ (נצ') 3252∕02,"לאחר התאונה ניסה הנאשם להתרחק מן המקום אלא שתקלה ברכב גרמה לו לעצור במרחק של כ- 50 מטר ממקום התאונה, הנאשם עזב את הרכב וניסה לברוח.",הנאשם הורשע בביצוע המעשים הבאים:נ
תפ (נצ') 3252∕02,"עדי הראיה אשר צפו במתרחש החלו רודפים אחר הנאשם ועומר, ולבסוף תפסו את הנאשם והחזיקו בו עד הגיע כוחות המשטרה למקום.",הנאשם הורשע בביצוע המעשים הבאים:נ
תפ (נצ') 3252∕02,"בדיון שהתקיים לפי סעיף 144 לחוק סדר הדין הפלילי [נוסח משולב], תשמ""ב - 1982, הודה הנאשם בחלק מן העובדות והעבירות בהן הואשם, כל חומר הראיות של התביעה הוגש בהסכמה. הנאשם העיד בבית המשפט.","עם הגעת השוטרים למקום, החל הנאשם להשתולל."
תפ (נצ') 3252∕02,בהכרעת הדין מצאתי לזכות את הנאשם מעבירה של תקיפת שוטר בנסיבות מחמירות ולהרשיעו בעבירות הבאות:ב,"עם הגעת השוטרים למקום, החל הנאשם להשתולל."
תפ (נצ') 3252∕02,"הפקרה אחרי פגיעה – עבירה על סעיף 64 א(א) ו-40 לפקודת התעבורה (נוסח חדש) התשכ""א – 1961 (להלן:ו""הפקודה"").","עם הגעת השוטרים למקום, החל הנאשם להשתולל."
תפ (נצ') 3252∕02,נהיגה ללא רשיון רכב בר תוקף – עבירה על סעיפים 2 ו- 62 לפקודה.,נהיגה בזמן פסילה – עבירה על סעיף 67 לפקודה.
תפ (נצ') 3252∕02,"נהיגה ללא ביטוח – עבירה לפי סעיף 2 (א)ו -(ב) לפקודת ביטוח רכב מנועי (נוסח חדש), התש""ל – 1970.",נהיגה בזמן פסילה – עבירה על סעיף 67 לפקודה.
תפ (נצ') 3252∕02,"נהיגה במצב העלול לסכן עוברי דרך והשולל השליטה ברכב - עבירה לפי תקנה 26  (1)  (2) ו- (4) לתקנות התעבורה התשכ""א –1961 (להלן:נ""התקנות"") וסעיף 68 לפקודה.",נהיגה בזמן פסילה – עבירה על סעיף 67 לפקודה.
תפ (נצ') 3252∕02,נהיגה במהירות מופרזת – עבירה לפי תקנה 54(א) לתקנות וסעיף 62(8) לפקודה.,נהיגה בזמן פסילה – עבירה על סעיף 67 לפקודה.
תפ (נצ') 3252∕02,אי ציות להוראת שוטר – עבירה לפי תקנה 23(א) (1) לתקנות וסעיף 62(8) לפקודה.,נהיגה בזמן פסילה – עבירה על סעיף 67 לפקודה.
תפ (נצ') 3252∕02,אי ציות לתמרור  - עבירה לפי תקנות 64(ד) ו- 22 (א) לתקנות וסעיף 62 (8) לפקודה.,נהיגה בזמן פסילה – עבירה על סעיף 67 לפקודה.
תפ (נצ') 3252∕02,"נהיגה בקלות ראש וחוסר זהירות אשר גרמה לנזק לאדם ולרכוש – עבירה לפי תקנה 21 (ב)(2) ו- (ג) לתקנות וסעיפים 62(2), 38(2)ו -(3) ו- 68 לפקודה.",נהיגה בזמן פסילה – עבירה על סעיף 67 לפקודה.
תפ (נצ') 3252∕02,"החזקת סכין שלא כדין - עבירה לפי סעיף 186(א) לחוק העונשין, תשל""ז – 1977 (להלן:ב""החוק"").",נהיגה בזמן פסילה – עבירה על סעיף 67 לפקודה.
תפ (נצ') 3252∕02,הפרעה לשוטר בשעת מילוי תפקידו – עבירה לפי סעיף 275 לחוק.,תקיפה – עבירה לפי סעיפים 379+ 381(א) (3) לחוק.
תפ (נצ') 3252∕02,"לאחר מתן הכרעת הדין ביקש הנאשם להעיד שני עדים אשר היה בהם לדעתו משום לשנות את הכרעת הדין. ביטלתי את הכרעת הדין שמעתי את העדים, אולם החלטתי לחדש את הכרעת הדין, כפי שניתנה.",תקיפה – עבירה לפי סעיפים 379+ 381(א) (3) לחוק.
תפ (נצ') 3252∕02,"התובע בטיעוניו לעונש הגיש את גליון הרשעותיו הקודמות של הנאשם, מהם עולה, כי לנאשם 21 רישומים קודמים.",תקיפה – עבירה לפי סעיפים 379+ 381(א) (3) לחוק.
תפ (נצ') 3252∕02,"הנאשם עבר עבירות אלימות, עבירות על פקודת הסמים המסוכנים, עבירות רכוש,  ועבירות הקשורות לנשק.",תקיפה – עבירה לפי סעיפים 379+ 381(א) (3) לחוק.
