citation,context_text,extracted_text,predicted_label
"ע""פ 4332/21","אפנה אל פסקי-הדין הבאים הנוגעים למתחמי ענישה בעבירת החזקת אמל""ח, אך יש לקרוא כל פסק-דין בשינויים המחויבים ומתוך הבנה שכולם קדמו לתיקון החוק שיפורט בהמשך, אשר קבע עונש מזערי שלא יפחת מרבע מהעונש המרבי הקבוע בצד העבירה:
ע""פ 4332/21 כרם עאסלה נגד מדינת ישראל (20.2.22) (לאחר התיקון לחוק):
הנאשם הורשע בעקבות הודאתו בהחזקת תת מקלע מאולתר מסוג קרלו ומחסנית, שאותם הסליק בתוך מגבת מתחת לסלעים בשדה, צעיר, נעדר עבר פלילי, בעל תסקיר חיובי, הוביל את השוטרים מיוזמתו על האמל""ח, הוא נדון בבית המשפט המחוזי ל – 15 חודשי מאסר בפועל ובית-המשפט העליון הקל בעונשו והעמידו על 9 חודשי מאסר לריצוי בדרך של עבודות שירות.
מכלול השיקולים דלעיל, בהחלט מוביל למסקנה כי ניתן לסטות לקולה במקרה המיוחד העומד בפניי, ממדיניות הענישה הנוהגת, שלפיה יש לגזור על נאשם המחזיק אמצעי לחימה ענישה בדרך של מאסר בפועל של ממש.
במקרה העומד בפניי, אני סבור כי בהחלט יש לאמץ את הדרך שנקבעה בע""פ 4332/21 כרם עאסלה נגד מדינת ישראל (20.2.22) (לאחר התיקון לחוק) במקרה זהה למקרנו:
באותו מקרה, הנאשם הורשע בעקבות הודאתו בהחזקת תת מקלע מאולתר מסוג קרלו ומחסנית, שאותם הסליק בתוך מגבת מתחת לסלעים בשדה, צעיר, נעדר עבר פלילי, בעל תסקיר חיובי, הוביל את השוטרים מיוזמתו על האמל""ח, הוא נדון בבית המשפט המחוזי ל – 15 חודשי מאסר בפועל ובית-המשפט העליון הקל בעונשו והעמידו על 9 חודשי מאסר לריצוי בדרך של עבודות שירות.","ע""פ 4332/21 כרם עאסלה נגד מדינת ישראל (20.2.22) (לאחר התיקון לחוק):
הנאשם הורשע בעקבות הודאתו בהחזקת תת מקלע מאולתר מסוג קרלו ומחסנית, שאותם הסליק בתוך מגבת מתחת לסלעים בשדה, צעיר, נעדר עבר פלילי, בעל תסקיר חיובי, הוביל את השוטרים מיוזמתו על האמל""ח, הוא נדון בבית המשפט המחוזי ל – 15 חודשי מאסר בפועל ובית-המשפט העליון הקל בעונשו והעמידו על 9 חודשי מאסר לריצוי בדרך של עבודות שירות.
מכלול השיקולים דלעיל, בהחלט מוביל למסקנה כי ניתן לסטות לקולה במקרה המיוחד העומד בפניי, ממדיניות הענישה הנוהגת, שלפיה יש לגזור על נאשם המחזיק אמצעי לחימה ענישה בדרך של מאסר בפועל של ממש.
במקרה העומד בפניי, אני סבור כי בהחלט יש לאמץ את הדרך שנקבעה בע""פ 4332/21 כרם עאסלה נגד מדינת ישראל (20.2.22) (לאחר התיקון לחוק) במקרה זהה למקרנו:
באותו מקרה, הנאשם הורשע בעקבות הודאתו בהחזקת תת מקלע מאולתר מסוג קרלו ומחסנית, שאותם הסליק בתוך מגבת מתחת לסלעים בשדה, צעיר, נעדר עבר פלילי, בעל תסקיר חיובי, הוביל את השוטרים מיוזמתו על האמל""ח, הוא נדון בבית המשפט המחוזי ל – 15 חודשי מאסר בפועל ובית-המשפט העליון הקל בעונשו והעמידו על 9 חודשי מאסר לריצוי בדרך של עבודות שירות.",1
"ע""פ 6306/17","הנאשם הורשע בעקבות הודאתו בהחזקת תת מקלע מאולתר מסוג קרלו ומחסנית, שאותם הסליק בתוך מגבת מתחת לסלעים בשדה, צעיר, נעדר עבר פלילי, בעל תסקיר חיובי, הוביל את השוטרים מיוזמתו על האמל""ח, הוא נדון בבית המשפט המחוזי ל – 15 חודשי מאסר בפועל ובית-המשפט העליון הקל בעונשו והעמידו על 9 חודשי מאסר לריצוי בדרך של עבודות שירות.
רע""פ 6306/17 חטיב נגד מדינת ישראל (28.3.18):
הנאשם הורשע בעקבות הודאתו, בכך שהחזיק בביתו את ארבעת כלי הנשק הבאים: חפץ דמוי תת מקלע מאולתר ומחסנית המתאימה לו, תת מקלע מסוג עוזי ומחסנית המתאימה לו, ושני אקדחים שלאחד מהם מחסנית תואמת. הנאשם נעדר עבר פלילי, תחילה הוגש תסקיר שלא כלל המלצה שיקומית, אחר הוזמנו תסקירים משלימים חיוביים אשר כללו המלצה לבכר בענישה שיקומית, נדון ל – 12 חודשי מאסר בפועל.","רע""פ 6306/17 חטיב נגד מדינת ישראל (28.3.18):
הנאשם הורשע בעקבות הודאתו, בכך שהחזיק בביתו את ארבעת כלי הנשק הבאים: חפץ דמוי תת מקלע מאולתר ומחסנית המתאימה לו, תת מקלע מסוג עוזי ומחסנית המתאימה לו, ושני אקדחים שלאחד מהם מחסנית תואמת. הנאשם נעדר עבר פלילי, תחילה הוגש תסקיר שלא כלל המלצה שיקומית, אחר הוזמנו תסקירים משלימים חיוביים אשר כללו המלצה לבכר בענישה שיקומית, נדון ל – 12 חודשי מאסר בפועל.",1
"ע""פ 1826/19","הנאשם הורשע בעקבות הודאתו, בכך שהחזיק בביתו את ארבעת כלי הנשק הבאים: חפץ דמוי תת מקלע מאולתר ומחסנית המתאימה לו, תת מקלע מסוג עוזי ומחסנית המתאימה לו, ושני אקדחים שלאחד מהם מחסנית תואמת. הנאשם נעדר עבר פלילי, תחילה הוגש תסקיר שלא כלל המלצה שיקומית, אחר הוזמנו תסקירים משלימים חיוביים אשר כללו המלצה לבכר בענישה שיקומית, נדון ל – 12 חודשי מאסר בפועל.
רע""פ 1826/19  אבו עסא נגד מדינת ישראל (18.3.19):
הנאשם הורשע בעקבות הודאתו, בכך שהחזיק בנשק מאולתר אוטומטי והעבירו לאדם אחר אשר יחזיק בו באופן זמני. גיל צעיר, העדר עבר פלילי, הנשק נתפס בידי המשטרה, נדון ל – 18 חודשי מאסר בפועל.","רע""פ 1826/19  אבו עסא נגד מדינת ישראל (18.3.19):
הנאשם הורשע בעקבות הודאתו, בכך שהחזיק בנשק מאולתר אוטומטי והעבירו לאדם אחר אשר יחזיק בו באופן זמני. גיל צעיר, העדר עבר פלילי, הנשק נתפס בידי המשטרה, נדון ל – 18 חודשי מאסר בפועל.",1
"ע""פ 2265/18","הנאשם הורשע בעקבות הודאתו, בכך שהחזיק בנשק מאולתר אוטומטי והעבירו לאדם אחר אשר יחזיק בו באופן זמני. גיל צעיר, העדר עבר פלילי, הנשק נתפס בידי המשטרה, נדון ל – 18 חודשי מאסר בפועל.
רע""פ 2265/18 עמאר נגד מדינת ישראל (29.3.18):
הנאשם הורשע בעקבות הודאתו בכך שהחזיק שני תתי מקלע מאולתרים עם מחסנית, אחד מהם הוסתר בתא מטען ברכב יחד עם מחסנית ריקה והשני בתיק עם שתי מחסניות, צעיר, נעדר עבר פלילי, תסקיר הנושא המלצה שיקומית, נדון ל – 20 חודשי מאסר בפועל.","רע""פ 2265/18 עמאר נגד מדינת ישראל (29.3.18):
הנאשם הורשע בעקבות הודאתו בכך שהחזיק שני תתי מקלע מאולתרים עם מחסנית, אחד מהם הוסתר בתא מטען ברכב יחד עם מחסנית ריקה והשני בתיק עם שתי מחסניות, צעיר, נעדר עבר פלילי, תסקיר הנושא המלצה שיקומית, נדון ל – 20 חודשי מאסר בפועל.",1
"ע""פ 5613/20","הנאשם הורשע בעקבות הודאתו בכך שהחזיק שני תתי מקלע מאולתרים עם מחסנית, אחד מהם הוסתר בתא מטען ברכב יחד עם מחסנית ריקה והשני בתיק עם שתי מחסניות, צעיר, נעדר עבר פלילי, תסקיר הנושא המלצה שיקומית, נדון ל – 20 חודשי מאסר בפועל.
רע""פ 5613/20 זאקי אלהוזייל נגד מדינת ישראל  (25.8.20):
הנאשם הורשע בעקבות הודאתו בכך שהחזיק במקום מגוריו אקדח FN ועשרים כדורים, בעל עבר פלילי  הכולל עבירה במתן אמצעים לביצוע פשע, החזקת סכין, החזקת סם, גרימת מוות ברשלנות, תסקיר שהכיל אלמנטים בלתי חיוביים, נדון ל – 12 חודשי מאסר בפועל.","רע""פ 5613/20 זאקי אלהוזייל נגד מדינת ישראל  (25.8.20):
הנאשם הורשע בעקבות הודאתו בכך שהחזיק במקום מגוריו אקדח FN ועשרים כדורים, בעל עבר פלילי  הכולל עבירה במתן אמצעים לביצוע פשע, החזקת סכין, החזקת סם, גרימת מוות ברשלנות, תסקיר שהכיל אלמנטים בלתי חיוביים, נדון ל – 12 חודשי מאסר בפועל.",1
"עפ""ג 14363-08-18","הנאשם הורשע בעקבות הודאתו, בכך שהחזיק אקדח ""גלוק"" גנוב ומחסנית מלאה כדורי 9 מ""מ, היה נתון במעצר כחודשיים, לאחר מכן נתון במעצר באיזוק, תסקירים הממליצים על ענישה שיקומית, צעיר, נעדר עבר פלילי,  נדון ל – 9 חודשי מאסר בפועל (לא נוכתה תקופת מעצרו).
עפ""ג 14363-08-18 (מחוזי מרכז) (הרכב בראשית כב' השופטת ורדה מרוז, סגנית הנשיאה) מדינת ישראל נגד ע'אנם (9.10.18):
נקבע מתחם שבין 8 – 18 חודשי מאסר למי שהחזיק בביתו אקדח גנוב טעון במחסנית ובה כדורים, ובין השאר שיבש את מהלכי החקירה והוראה להשליך את האקדח, אך בית המשפט המחוזי הנכבד קבע: ""מתחם הענישה לעבירה של החזקת נשק שלא כחוק בעודו טעון, כאשר ברקע ידוע כי מדובר בנשק גנוב, הוא בין 8 – 18 חודשי מאסר..."", נגזרו 8 חודשי מאסר בפועל, במקום 6 חודשי מאסר בדרך של ע""ש, על צעיר, נעדר עבר פלילי, בעל תסקיר חיובי.","עפ""ג 14363-08-18 (מחוזי מרכז) (הרכב בראשית כב' השופטת ורדה מרוז, סגנית הנשיאה) מדינת ישראל נגד ע'אנם (9.10.18):
נקבע מתחם שבין 8 – 18 חודשי מאסר למי שהחזיק בביתו אקדח גנוב טעון במחסנית ובה כדורים, ובין השאר שיבש את מהלכי החקירה והוראה להשליך את האקדח, אך בית המשפט המחוזי הנכבד קבע: ""מתחם הענישה לעבירה של החזקת נשק שלא כחוק בעודו טעון, כאשר ברקע ידוע כי מדובר בנשק גנוב, הוא בין 8 – 18 חודשי מאסר..."", נגזרו 8 חודשי מאסר בפועל, במקום 6 חודשי מאסר בדרך של ע""ש, על צעיר, נעדר עבר פלילי, בעל תסקיר חיובי.",1
"עפ""ג 24956-04-19","נקבע מתחם שבין 8 – 18 חודשי מאסר למי שהחזיק בביתו אקדח גנוב טעון במחסנית ובה כדורים, ובין השאר שיבש את מהלכי החקירה והוראה להשליך את האקדח, אך בית המשפט המחוזי הנכבד קבע: ""מתחם הענישה לעבירה של החזקת נשק שלא כחוק בעודו טעון, כאשר ברקע ידוע כי מדובר בנשק גנוב, הוא בין 8 – 18 חודשי מאסר..."", נגזרו 8 חודשי מאסר בפועל, במקום 6 חודשי מאסר בדרך של ע""ש, על צעיר, נעדר עבר פלילי, בעל תסקיר חיובי.
עפ""ג 24956-04-19 (מחוזי מרכז)(הרכב בראשות השופט שמואל בורנשטיין) מדינת ישראל נגד סילמי (2.7.19):
החזקת  שלושה אקדחים, שתי מחסניות, צעיר, נעדר עבר פלילי, תסקיר חיובי נדון ל – 16 חודשי מאסר בפועל.","עפ""ג 24956-04-19 (מחוזי מרכז)(הרכב בראשות השופט שמואל בורנשטיין) מדינת ישראל נגד סילמי (2.7.19):
החזקת  שלושה אקדחים, שתי מחסניות, צעיר, נעדר עבר פלילי, תסקיר חיובי נדון ל – 16 חודשי מאסר בפועל.",1
"עפ""ג 20562-08-18","החזקת  שלושה אקדחים, שתי מחסניות, צעיר, נעדר עבר פלילי, תסקיר חיובי נדון ל – 16 חודשי מאסר בפועל.
עפ""ג 20562-08-18 (מחוזי מרכז)(הרכב בראשות כב' השופטת ורדה מרוז – סגנית הנשיאה) מדינת ישראל נגד בהא לבן (20.11.18):
6 חודשי מאסר בעבודות שירות למי אשר החזיק בביתו אקדח, מחסנית 32 כדורים, נעדר עבר פלילי, בעל תסקיר חיובי, הודה, היה נתון חודש במעצר ממש, בבית משפט השלום נקבע מתחם שבין 6 – 20 חודשי מאסר בפועל, בית המשפט המחוזי לא קבע קביעה שונה ביחס למתחם, הגם שהחמיר בענישה בדרך של הטלת קנס בסך 3,000 ₪.","עפ""ג 20562-08-18 (מחוזי מרכז)(הרכב בראשות כב' השופטת ורדה מרוז – סגנית הנשיאה) מדינת ישראל נגד בהא לבן (20.11.18):  
6 חודשי מאסר בעבודות שירות למי אשר החזיק בביתו אקדח, מחסנית 32 כדורים, נעדר עבר פלילי, בעל תסקיר חיובי, הודה, היה נתון חודש במעצר ממש, בבית משפט השלום נקבע מתחם שבין 6 – 20 חודשי מאסר בפועל, בית המשפט המחוזי לא קבע קביעה שונה ביחס למתחם, הגם שהחמיר בענישה בדרך של הטלת קנס בסך 3,000 ₪.",1
"עפ""ג 23661-07-18","6 חודשי מאסר בעבודות שירות למי אשר החזיק בביתו אקדח, מחסנית 32 כדורים, נעדר עבר פלילי, בעל תסקיר חיובי, הודה, היה נתון חודש במעצר ממש, בבית משפט השלום נקבע מתחם שבין 6 – 20 חודשי מאסר בפועל, בית המשפט המחוזי לא קבע קביעה שונה ביחס למתחם, הגם שהחמיר בענישה בדרך של הטלת קנס בסך 3,000 ₪.
עפ""ג 23661-07-18 (מחוזי מרכז)(הרכב בראשות כב' השופטת דנה מרשק מרום) מדינת ישראל נגד מרשה (25.11.18):
נקבע מתחם המתחיל מ – 8 חודשי מאסר בפועל, והעמיד את עונשו של מי שהחזיק אקדח גנוב, מחזנית וכדורים מוסלקים, נעדר עבר פלילי, תסקיר חיובי, היה עצור 19 ימים, על שמונה חודשי מאסר בפועל, חלף 6 חודשי מאסר בדרך של עבודות שירות, בניכוי תקופת מעצרו.","עפ""ג 23661-07-18 (מחוזי מרכז)(הרכב בראשות כב' השופטת דנה מרשק מרום) מדינת ישראל נגד מרשה (25.11.18):
נקבע מתחם המתחיל מ – 8 חודשי מאסר בפועל, והעמיד את עונשו של מי שהחזיק אקדח גנוב, מחזנית וכדורים מוסלקים, נעדר עבר פלילי, תסקיר חיובי, היה עצור 19 ימים, על שמונה חודשי מאסר בפועל, חלף 6 חודשי מאסר בדרך של עבודות שירות, בניכוי תקופת מעצרו.",1
"עפ""ג 52059-04-19","נקבע מתחם המתחיל מ – 8 חודשי מאסר בפועל, והעמיד את עונשו של מי שהחזיק אקדח גנוב, מחזנית וכדורים מוסלקים, נעדר עבר פלילי, תסקיר חיובי, היה עצור 19 ימים, על שמונה חודשי מאסר בפועל, חלף 6 חודשי מאסר בדרך של עבודות שירות, בניכוי תקופת מעצרו.
עפ""ג 52059-04-19 (מחוזי לוד) אבו סחאב נגד מדינת ישראל (10.9.19):
נדחה ערעורו של המערער שהורשע בהחזקת נשק ללא רשות והחזקת סם לצריכה עצמית, כאשר האקדח הוסתר בתוך גרב יחד עם 5 כדורי רובה ציד ושתי קופסאות המכילות 50 כדורי אקדח 9 מ""מ וקופסת כדורים ובה 40 כדורי 9 מ""מ, 4 כדורי 5.56 מ""מ וקנביס במשקל של כ- 16 גרם לצריכה עצמית. באותו מקרה נקבע  מתחם ענישה הנע בין 8 ל- 18 חודשי מאסר בפועל נגזרו על הנאשם  9 חודשי מאסר בפועל  -  נעדר עבר פלילי, צעיר, שהה בתנאים מגבילים שונים והיה עצור כחודש, תסקירי שירות המבחן הציגו תמונה חיובית.","עפ""ג 52059-04-19 (מחוזי לוד) אבו סחאב נגד מדינת ישראל (10.9.19):
נדחה ערעורו של המערער שהורשע בהחזקת נשק ללא רשות והחזקת סם לצריכה עצמית, כאשר האקדח הוסתר בתוך גרב יחד עם 5 כדורי רובה ציד ושתי קופסאות המכילות 50 כדורי אקדח 9 מ""מ וקופסת כדורים ובה 40 כדורי 9 מ""מ, 4 כדורי 5.56 מ""מ וקנביס במשקל של כ- 16 גרם לצריכה עצמית. באותו מקרה נקבע  מתחם ענישה הנע בין 8 ל- 18 חודשי מאסר בפועל נגזרו על הנאשם  9 חודשי מאסר בפועל  -  נעדר עבר פלילי, צעיר, שהה בתנאים מגבילים שונים והיה עצור כחודש, תסקירי שירות המבחן הציגו תמונה חיובית.",1
