citation,context_text,extracted_text,predicted_label,extracted_citation,link
"ר ע""פ 5613/20","בבחינת הנסיבות הקשורות בביצוע העבירה, עסקינן בנאשם שהורשע בהחזקת רימון הלם ושני בקבוקי תבערה בביתו, כאשר לא ידוע ממתי כלי נשק אלו הוחזקו, והאם תוכנן לעשות בהם שימוש, אך מנסיבות האירוע ניתן ללמוד על ממד של תכנון והכנה, וקיומו של דפוס פעולה עברייני ביחס לכלל הפריטים שהוחזקו על ידו יחד.
במסגרת רע""פ 5613/20 אלהוזייל נגד מדינת ישראל (נבו 25.8.2020) ציין בית המשפט את הדברים הבאים:
""לגופם של דברים, עבירות בנשק הפכו בשנים האחרונות, למרבה הצער, לתופעה נפוצה בקרב אוכלוסיות שונות בחברה הישראלית, המביאה לעתים מזומנות לפגיעה בחפים מפשע ולאובדן חיי אדם. כתוצאה מכך, בית משפט זה שב וקבע כי מתחייבת החמרה ממשית בענישה על עבירות אלו, על מנת לשדר מסר מרתיע מפני ביצוען (ראו למשל בע""פ 4406/19 מדינת ישראל נ' סובח,
פסקאות 16–17 לחוות דעתי (נבו 5.11.2019); רע""פ 7344/18 מג'יד נ' מדינת ישראל, פסקה 10 (נבו 21.10.2018))"".","במסגרת רע""פ 5613/20 אלהוזייל נגד מדינת ישראל (נבו 25.8.2020) ציין בית המשפט את הדברים הבאים:  
""לגופם של דברים, עבירות בנשק הפכו בשנים האחרונות, למרבה הצער, לתופעה נפוצה בקרב אוכלוסיות שונות בחברה הישראלית, המביאה לעתים מזומנות לפגיעה בחפים מפשע ולאובדן חיי אדם. כתוצאה מכך, בית משפט זה שב וקבע כי מתחייבת החמרה ממשית בענישה על עבירות אלו, על מנת לשדר מסר מרתיע מפני ביצוען""",0,"ע""פ 5613/20",
"ע""פ 4406/19","במסגרת רע""פ 5613/20 אלהוזייל נגד מדינת ישראל (נבו 25.8.2020) ציין בית המשפט את הדברים הבאים:
""לגופם של דברים, עבירות בנשק הפכו בשנים האחרונות, למרבה הצער, לתופעה נפוצה בקרב אוכלוסיות שונות בחברה הישראלית, המביאה לעתים מזומנות לפגיעה בחפים מפשע ולאובדן חיי אדם. כתוצאה מכך, בית משפט זה שב וקבע כי מתחייבת החמרה ממשית בענישה על עבירות אלו, על מנת לשדר מסר מרתיע מפני ביצוען (ראו למשל בע""פ 4406/19 מדינת ישראל נ' סובח,
פסקאות 16–17 לחוות דעתי (נבו 5.11.2019); רע""פ 7344/18 מג'יד נ' מדינת ישראל, פסקה 10 (נבו 21.10.2018))"".
וראו גם: ע""פ 8416/09 מדינת ישראל נ' חרבוש ואח' (נבו 9.6.2010):","ראו למשל בע""פ 4406/19 מדינת ישראל נ' סובח, פסקאות 16–17 לחוות דעתי (נבו 5.11.2019)",0,"ע""פ 5613/20",
"ר ע""פ 7344/18","במסגרת רע""פ 5613/20 אלהוזייל נגד מדינת ישראל (נבו 25.8.2020) ציין בית המשפט את הדברים הבאים:
""לגופם של דברים, עבירות בנשק הפכו בשנים האחרונות, למרבה הצער, לתופעה נפוצה בקרב אוכלוסיות שונות בחברה הישראלית, המביאה לעתים מזומנות לפגיעה בחפים מפשע ולאובדן חיי אדם. כתוצאה מכך, בית משפט זה שב וקבע כי מתחייבת החמרה ממשית בענישה על עבירות אלו, על מנת לשדר מסר מרתיע מפני ביצוען (ראו למשל בע""פ 4406/19 מדינת ישראל נ' סובח,
פסקאות 16–17 לחוות דעתי (נבו 5.11.2019); רע""פ 7344/18 מג'יד נ' מדינת ישראל, פסקה 10 (נבו 21.10.2018))"".
וראו גם: ע""פ 8416/09 מדינת ישראל נ' חרבוש ואח' (נבו 9.6.2010):","""לגופם של דברים, עבירות בנשק הפכו בשנים האחרונות, למרבה הצער, לתופעה נפוצה בקרב אוכלוסיות שונות בחברה הישראלית, המביאה לעתים מזומנות לפגיעה בחפים מפשע ולאובדן חיי אדם. כתוצאה מכך, בית משפט זה שב וקבע כי מתחייבת החמרה ממשית בענישה על עבירות אלו, על מנת לשדר מסר מרתיע מפני ביצוען (רע""פ 7344/18 מג'יד נ' מדינת ישראל, פסקה 10 (נבו 21.10.2018))"".",0,"ע""פ 5613/20",
"ע""פ 8416/09","""לגופם של דברים, עבירות בנשק הפכו בשנים האחרונות, למרבה הצער, לתופעה נפוצה בקרב אוכלוסיות שונות בחברה הישראלית, המביאה לעתים מזומנות לפגיעה בחפים מפשע ולאובדן חיי אדם. כתוצאה מכך, בית משפט זה שב וקבע כי מתחייבת החמרה ממשית בענישה על עבירות אלו, על מנת לשדר מסר מרתיע מפני ביצוען (ראו למשל בע""פ 4406/19 מדינת ישראל נ' סובח,
פסקאות 16–17 לחוות דעתי (נבו 5.11.2019); רע""פ 7344/18 מג'יד נ' מדינת ישראל, פסקה 10 (נבו 21.10.2018))"".
וראו גם: ע""פ 8416/09 מדינת ישראל נ' חרבוש ואח' (נבו 9.6.2010):
""חומרתה של עבירת החזקת הנשק, מקורה בכך שעבירה זאת אינה נעשית לרוב אלא כדי לאפשר ביצוען של עבירות אחרות, שמעצם טבעו של הנשק, כרוכות באלימות או בהפחדה. ... כפי שציינה חברתי הנשיאה ד' ביניש, המציאות השוררת בארץ המתבטאת בזמינותו של נשק חם ורב עוצמה שיש עמו פוטנציאל להסלמת האלימות העבריינית, מחייבת מתן ביטוי עונשי הולם והחמרה ברמת הענישה (ראו ע""פ 1332/04 מדינת ישראל נ' פס, סעיף 4 (נבו 19.4.04)). יש לעשות כן עוד בטרם ייעשה באקדח שימוש קטלני, באמצעות הרחקת המחזיק בו מן החברה לפרק זמן, והעברת מסר מרתיע באמצעות עונש מאסר ממשי לריצוי בפועל..."".","וראו גם: ע""פ 8416/09 מדינת ישראל נ' חרבוש ואח' (נבו 9.6.2010):
""חומרתה של עבירת החזקת הנשק, מקורה בכך שעבירה זאת אינה נעשית לרוב אלא כדי לאפשר ביצוען של עבירות אחרות, שמעצם טבעו של הנשק, כרוכות באלימות או בהפחדה. ... כפי שציינה חברתי הנשיאה ד' ביניש, המציאות השוררת בארץ המתבטאת בזמינותו של נשק חם ורב עוצמה שיש עמו פוטנציאל להסלמת האלימות העבריינית, מחייבת מתן ביטוי עונשי הולם והחמרה ברמת הענישה (ראו ע""פ 1332/04 מדינת ישראל נ' פס, סעיף 4 (נבו 19.4.04)). יש לעשות כן עוד בטרם ייעשה באקדח שימוש קטלני, באמצעות הרחקת המחזיק בו מן החברה לפרק זמן, והעברת מסר מרתיע באמצעות עונש מאסר ממשי לריצוי בפועל..."".",0,"ע""פ 4406/19",http://www.nevo.co.il/case/25824863
"ע""פ 1332/04","וראו גם: ע""פ 8416/09 מדינת ישראל נ' חרבוש ואח' (נבו 9.6.2010):
""חומרתה של עבירת החזקת הנשק, מקורה בכך שעבירה זאת אינה נעשית לרוב אלא כדי לאפשר ביצוען של עבירות אחרות, שמעצם טבעו של הנשק, כרוכות באלימות או בהפחדה. ... כפי שציינה חברתי הנשיאה ד' ביניש, המציאות השוררת בארץ המתבטאת בזמינותו של נשק חם ורב עוצמה שיש עמו פוטנציאל להסלמת האלימות העבריינית, מחייבת מתן ביטוי עונשי הולם והחמרה ברמת הענישה (ראו ע""פ 1332/04 מדינת ישראל נ' פס, סעיף 4 (נבו 19.4.04)). יש לעשות כן עוד בטרם ייעשה באקדח שימוש קטלני, באמצעות הרחקת המחזיק בו מן החברה לפרק זמן, והעברת מסר מרתיע באמצעות עונש מאסר ממשי לריצוי בפועל..."".
ביום 8.12.2021 נכנס לתוקף תיקון 140 לחוק העונשין  החל בעניינינו, הקובע עונש מזערי שלא יפחת מרבע העונש המרבי שנקבע בצד העבירה הספציפית. עוד קודם להחמרה שחלה לאחרונה בענישה בגין עבירות נשק, נקבע כי עבירות נשק שעניינן בקבוקי תבערה, מחייבות ענישה מחמירה:","כפי שציינה חברתי הנשיאה ד' ביניש, המציאות השוררת בארץ המתבטאת בזמינותו של נשק חם ורב עוצמה שיש עמו פוטנציאל להסלמת האלימות העבריינית, מחייבת מתן ביטוי עונשי הולם והחמרה ברמת הענישה (ראו ע""פ 1332/04 מדינת ישראל נ' פס, סעיף 4 (נבו 19.4.04)).",0,"ע""פ 8416/09",http://www.nevo.co.il/case/5969313
"ע""פ 262/06","ביום 8.12.2021 נכנס לתוקף תיקון 140 לחוק העונשין  החל בעניינינו, הקובע עונש מזערי שלא יפחת מרבע העונש המרבי שנקבע בצד העבירה הספציפית. עוד קודם להחמרה שחלה לאחרונה בענישה בגין עבירות נשק, נקבע כי עבירות נשק שעניינן בקבוקי תבערה, מחייבות ענישה מחמירה:
""סוג עבירות זה, שעניינן בקבוקי תבערה, מחייב ענישה מחמירה. תוצאותיו של בקבוק תבערה, וכבר היו דברים מעולם, עלולות להיות קשות ביותר, וראוי אפוא כי ייצא הקול שהענישה בכגון דא לא תהא קלה. בטחון הציבור אינו יכול להיות הפקר ונתון לאימה.."" (ע""פ 262/06 פלוני נ' מדינת ישראל (6.7.2006)).
סקירת מדיניות הענישה הנהוגה בגין החזקת בקבוקי תבערה מלמדת על טווח ענישה רחב התלוי לרוב בנסיבותיו של כל מקרה ומקרה:","""סוג עבירות זה, שעניינן בקבוקי תבערה, מחייב ענישה מחמירה. תוצאותיו של בקבוק תבערה, וכבר היו דברים מעולם, עלולות להיות קשות ביותר, וראוי אפוא כי ייצא הקול שהענישה בכגון דא לא תהא קלה. בטחון הציבור אינו יכול להיות הפקר ונתון לאימה.."" (ע""פ 262/06 פלוני נ' מדינת ישראל (6.7.2006))",0,"ע""פ 262/06",http://www.nevo.co.il/case/6188919
"ת""פ (מחוזי נצ') 24257-09-22","סקירת מדיניות הענישה הנהוגה בגין החזקת בקבוקי תבערה מלמדת על טווח ענישה רחב התלוי לרוב בנסיבותיו של כל מקרה ומקרה:
בת""פ (מחוזי נצ') 24257-09-22 מדינת ישראל נ' מוחמד ג'מאמעה (נבו 22.6.2023)‏‏ הנאשם ייצר בקבוקי תבערה, אשר צוין שהם ""כלי נשק שסוגל לפלוט חומר הנועד להזיק לאדם"", וכמו כן החזיק בביתו את בקבוקי התבערה בלא רשות על פי דין להחזקתם. בנוסף, החזיק הנאשם בביתו סם מסוכן מסוג קנבוס לצריכה עצמית במשקל של 15 גרם נטו. נקבע מתחם עונש הנע בין 24 ל- 48 חודשי מאסר בפועל, לצד ענישה נלווית. על הנאשם הוטל מאסר למשך 36 חודשים, בניכוי ימי מעצרו.
בת""פ (מחוזי ים) 34579-05-20 מדינת ישראל נ' מחמוד  (23.11.2020) נדון עניינו של נאשם שהורשע בעבירה של ייצור נשק, לאחר שייצר לפחות בקבוק תבערה אחד מתוך מספר בקבוקי תבערה שנתפסו במהלך פעילות מג""ב. בית המשפט קבע מתחם עונש הולם הנע בין 14 ל- 36 חודשי מאסר, והשית על הנאשם, 17 חודשי מאסר בפועל, לצד עונשים נלווים.","בת""פ (מחוזי נצ') 24257-09-22 מדינת ישראל נ' מוחמד ג'מאמעה (נבו 22.6.2023)‏‏ הנאשם ייצר בקבוקי תבערה, אשר צוין שהם ""כלי נשק שסוגל לפלוט חומר הנועד להזיק לאדם"", וכמו כן החזיק בביתו את בקבוקי התבערה בלא רשות על פי דין להחזקתם. בנוסף, החזיק הנאשם בביתו סם מסוכן מסוג קנבוס לצריכה עצמית במשקל של 15 גרם נטו. נקבע מתחם עונש הנע בין 24 ל- 48 חודשי מאסר בפועל, לצד ענישה נלווית. על הנאשם הוטל מאסר למשך 36 חודשים, בניכוי ימי מעצרו.",1,"ת""פ (מחוזי נצ') 24257-09-22",
"ת""פ (מחוזי ים) 34579-05-20","בת""פ (מחוזי נצ') 24257-09-22 מדינת ישראל נ' מוחמד ג'מאמעה (נבו 22.6.2023)‏‏ הנאשם ייצר בקבוקי תבערה, אשר צוין שהם ""כלי נשק שסוגל לפלוט חומר הנועד להזיק לאדם"", וכמו כן החזיק בביתו את בקבוקי התבערה בלא רשות על פי דין להחזקתם. בנוסף, החזיק הנאשם בביתו סם מסוכן מסוג קנבוס לצריכה עצמית במשקל של 15 גרם נטו. נקבע מתחם עונש הנע בין 24 ל- 48 חודשי מאסר בפועל, לצד ענישה נלווית. על הנאשם הוטל מאסר למשך 36 חודשים, בניכוי ימי מעצרו.
בת""פ (מחוזי ים) 34579-05-20 מדינת ישראל נ' מחמוד  (23.11.2020) נדון עניינו של נאשם שהורשע בעבירה של ייצור נשק, לאחר שייצר לפחות בקבוק תבערה אחד מתוך מספר בקבוקי תבערה שנתפסו במהלך פעילות מג""ב. בית המשפט קבע מתחם עונש הולם הנע בין 14 ל- 36 חודשי מאסר, והשית על הנאשם, 17 חודשי מאסר בפועל, לצד עונשים נלווים.
בת""פ (מחוזי חי') 35695-12-15 מדינת ישראל נ' עלא חג'אזי (נבו 23.5.2016)‏‏ החזיק הנאשם ונשא שני בקבוקי תבעירה ברכבו לאחר שגמלה בליבו ההחלטה להצית רכבו של אחר על רקע סכסוך עמו. כן החזיק הנאשם בכיס מכנסיו בסכין שאורך להבה כ- 6.5 ס""מ. נקבע מתחם ענישה שבין 12 חודשים ל-24 חודשים, ונגזרו על הנאשם 12 חודשי מאסר בפועל, בניכוי ימי מעצרו .","בת""פ (מחוזי ים) 34579-05-20 מדינת ישראל נ' מחמוד  (23.11.2020) נדון עניינו של נאשם שהורשע בעבירה של ייצור נשק, לאחר שייצר לפחות בקבוק תבערה אחד מתוך מספר בקבוקי תבערה שנתפסו במהלך פעילות מג""ב. בית המשפט קבע מתחם עונש הולם הנע בין 14 ל- 36 חודשי מאסר, והשית על הנאשם, 17 חודשי מאסר בפועל, לצד עונשים נלווים.",1,"ת""פ (מחוזי נצ') 24257-09-22",
"ת""פ (מחוזי חי') 35695-12-15","בת""פ (מחוזי ים) 34579-05-20 מדינת ישראל נ' מחמוד  (23.11.2020) נדון עניינו של נאשם שהורשע בעבירה של ייצור נשק, לאחר שייצר לפחות בקבוק תבערה אחד מתוך מספר בקבוקי תבערה שנתפסו במהלך פעילות מג""ב. בית המשפט קבע מתחם עונש הולם הנע בין 14 ל- 36 חודשי מאסר, והשית על הנאשם, 17 חודשי מאסר בפועל, לצד עונשים נלווים.
בת""פ (מחוזי חי') 35695-12-15 מדינת ישראל נ' עלא חג'אזי (נבו 23.5.2016)‏‏ החזיק הנאשם ונשא שני בקבוקי תבעירה ברכבו לאחר שגמלה בליבו ההחלטה להצית רכבו של אחר על רקע סכסוך עמו. כן החזיק הנאשם בכיס מכנסיו בסכין שאורך להבה כ- 6.5 ס""מ. נקבע מתחם ענישה שבין 12 חודשים ל-24 חודשים, ונגזרו על הנאשם 12 חודשי מאסר בפועל, בניכוי ימי מעצרו .
בע""פ 9511/01 קבקוב נ' מדינת ישראל הנאשם הורשע בעבירות של הכנה ונשיאה של כלי נשק מסוג בקת""ב – נגזרו עליו 12 חודשי מאסר.","בת""פ (מחוזי חי') 35695-12-15 מדינת ישראל נ' עלא חג'אזי (נבו 23.5.2016)‏‏ החזיק הנאשם ונשא שני בקבוקי תבעירה ברכבו לאחר שגמלה בליבו ההחלטה להצית רכבו של אחר על רקע סכסוך עמו. כן החזיק הנאשם בכיס מכנסיו בסכין שאורך להבה כ- 6.5 ס""מ. נקבע מתחם ענישה שבין 12 חודשים ל-24 חודשים, ונגזרו על הנאשם 12 חודשי מאסר בפועל, בניכוי ימי מעצרו .",1,"ת""פ (מחוזי ים) 34579-05-20",http://www.nevo.co.il/case/26673856
"ע""פ 9511/01","בת""פ (מחוזי חי') 35695-12-15 מדינת ישראל נ' עלא חג'אזי (נבו 23.5.2016)‏‏ החזיק הנאשם ונשא שני בקבוקי תבעירה ברכבו לאחר שגמלה בליבו ההחלטה להצית רכבו של אחר על רקע סכסוך עמו. כן החזיק הנאשם בכיס מכנסיו בסכין שאורך להבה כ- 6.5 ס""מ. נקבע מתחם ענישה שבין 12 חודשים ל-24 חודשים, ונגזרו על הנאשם 12 חודשי מאסר בפועל, בניכוי ימי מעצרו .
בע""פ 9511/01 קבקוב נ' מדינת ישראל הנאשם הורשע בעבירות של הכנה ונשיאה של כלי נשק מסוג בקת""ב – נגזרו עליו 12 חודשי מאסר.
ביחס להחזקת רימון הלם, בע""פ 6327/17 יוסבשוילי נ' מדינת ישראל (2018) ע""פ 7124/06 דרורי נ' מדינת ישראל (2007) צוין אמנם כי רימון הלם חומרתו פחותה יותר, הן בקטגוריית הנשקים הכללית, והן בתת הקטגוריה של הרימונים שלהם יכולת המתה. רימון הלם ""בכוחו להזיק"", להבדיל מיכולת המתה, ונעשה בו שימוש בעיקר להטלת אימה וגרימת נזק. עם זאת, אין להתעלם מהנזק הפוטנציאלי שיכול היה להיגרם כתוצאה מהמעשה. לעניין זה קבע בית המשפט העליון כך:","בע""פ 9511/01 קבקוב נ' מדינת ישראל הנאשם הורשע בעבירות של הכנה ונשיאה של כלי נשק מסוג בקת""ב – נגזרו עליו 12 חודשי מאסר.",1,"ת""פ (מחוזי חי') 35695-12-15",
