verdict,appeal,url
"ת""פ 15527-08-10","ע""פ 5323∕12",http://www.nevo.co.il/case/4752781
"ת""פ 5187-07-10","ע""פ 9373∕10",http://www.nevo.co.il/links/psika/?NEWPROC=תפ&NEWPARTA=5187&NEWPARTB=07&NEWPARTC=10
פ.ח. 205/05,"ע""פ 4977∕06",
ת.פ. 50004/08,"ע""פ 2638∕10",
ת.פ.40320/04,"ע""פ 2839∕05",
"ת""פ 52891-02-14","ע""פ 5717∕14",http://www.nevo.co.il/case/12976708
"ת""פ 24-10","ע""פ 5677∕12",
תיק פ 035421-01-13,"ע""פ 2398∕14",
"ת""פ 29671-12-13","ע""פ 5681∕14",
"ת""פ 50101-03-13","ע""פ 1928∕15",http://www.nevo.co.il/case/7861929
"ת""פ 19087-06-13","ע""פ 8845∕15",http://www.nevo.co.il/case/7676477
"ת""פ 61046-02-15","ע""פ 8846∕15",http://www.nevo.co.il/case/20054669
"ת""פ 31351-12-14","ע""פ 401∕16",http://www.nevo.co.il/case/18734314
"ת""פ 4222-09-15","ע""פ 3877∕16",http://www.nevo.co.il/case/20548556
"ת""פ 42595-06-15","ע""פ 6558∕16",http://www.nevo.co.il/case/20368844
"ת""פ 11789-12-16","ע""פ 2834∕18",http://www.nevo.co.il/case/21725190
"ת""פ 40313-09-15","ע""פ 3336∕18",http://www.nevo.co.il/case/20590832
