paragraph_number,paragraph_text,citation,part,predicted_label
33,"בית-המשפט העליון (כב' השופט נעם סולברג) עמד על חומרת עבירות בנשק בע""פ 135/17 מדינת ישראל נ' בסל (8.3.17):","ע""פ 135/17",דיון - קביעת מתחם העונש ההולם,0
35,"בית המשפט העליון, בשורה ארוכה של פסקי דין מן העת האחרונה, חזר והדגיש את מגמת החמרה בענישה בעבירות הנשק השונות. כך למשל, בדברי כב' השופטת ע' ברון בע""פ 2564/19 אזברגה נ' מדינת ישראל (18.7.19):","ע""פ 2564/19",דיון - קביעת מתחם העונש ההולם,0
37,"כך גם כב' השופט ע' גרוסקופף, חזר לאחרונה והדגיש את מגמת ההחמרה בעבירות נשק, על סוגיהן השונים, בע""פ 5446/19 מדינת ישראל נ' הוארי (25.11.19):","ע""פ 5446/19",דיון - קביעת מתחם העונש ההולם,0
39,"באופן דומה כב' השופט י' אלרון בע""פ 4406/19 מדינת ישראל נ' סובח (5.11.19) שב והדגיש לאחרונה את מגמת ההחמרה בעבירות נשק (במקרה שבו אף נעשה שימוש בנשק):","ע""פ 4406/19",דיון - קביעת מתחם העונש ההולם,0
45,"עבירות הנשק הוכרו בפסיקה כ""מכת מדינה"" באופן אשר מצדיק החמרת ענישה בהן (בהקשר זה ראו ע""פ 4945/13 מדינת ישראל נ' סלימאן [19.4.14]; ע""פ 2398/14 אלהזייל נ' מדינת ישראל [8.7.14]; ע""פ 5681/14 מדינת ישראל נ' טאטור [1.21.15]). עבירות אלו אף הוכרו ""כמכת אזור"" של ממש (בהקשר זה ראו בין היתר עפ""ג (מח' מרכז-לוד) 15337-10-14 ג'אבר נ' מדינת ישראל [7.12.14], עפ""ג (מחוזי מרכז-לוד) 27417-11-15 מדינת ישראל נ' עבד אל רחים [17.1.16]).","ע""פ 4945/13",דיון - קביעת מתחם העונש ההולם,0
45,"עבירות הנשק הוכרו בפסיקה כ""מכת מדינה"" באופן אשר מצדיק החמרת ענישה בהן (בהקשר זה ראו ע""פ 4945/13 מדינת ישראל נ' סלימאן [19.4.14]; ע""פ 2398/14 אלהזייל נ' מדינת ישראל [8.7.14]; ע""פ 5681/14 מדינת ישראל נ' טאטור [1.21.15]). עבירות אלו אף הוכרו ""כמכת אזור"" של ממש (בהקשר זה ראו בין היתר עפ""ג (מח' מרכז-לוד) 15337-10-14 ג'אבר נ' מדינת ישראל [7.12.14], עפ""ג (מחוזי מרכז-לוד) 27417-11-15 מדינת ישראל נ' עבד אל רחים [17.1.16]).","ע""פ 2398/14",דיון - קביעת מתחם העונש ההולם,0
45,"עבירות הנשק הוכרו בפסיקה כ""מכת מדינה"" באופן אשר מצדיק החמרת ענישה בהן (בהקשר זה ראו ע""פ 4945/13 מדינת ישראל נ' סלימאן [19.4.14]; ע""פ 2398/14 אלהזייל נ' מדינת ישראל [8.7.14]; ע""פ 5681/14 מדינת ישראל נ' טאטור [1.21.15]). עבירות אלו אף הוכרו ""כמכת אזור"" של ממש (בהקשר זה ראו בין היתר עפ""ג (מח' מרכז-לוד) 15337-10-14 ג'אבר נ' מדינת ישראל [7.12.14], עפ""ג (מחוזי מרכז-לוד) 27417-11-15 מדינת ישראל נ' עבד אל רחים [17.1.16]).","ע""פ 5681/14",דיון - קביעת מתחם העונש ההולם,0
51,"בע""פ 3877/16 ג'באלי נ' מדינת ישראל (17.11.16), נדחה ערעורו של נאשם אשר הורשע על סמך הודאתו בעבירה של נשיאת נשק. בעקבות סכסוך בין הנאשם לבין אחר, קבעו השניים להיפגש לשם יישוב הסכסוך. הנאשם הגיע למקום המפגש, ביחד עם קטין, כשהוא נושא עמו ברכב אקדח גנוב טעון במחסנית שהכילה כדורים. כשהגיע למקום המפגש, החביא את האקדח במכנסיו, ושם נעצר על ידי שוטרים, והשליך את האקדח. בית המשפט המחוזי קבע מתחם עונש הולם שבין 24 ל-48 חודשי מאסר בפועל. נאשם בעל עבר פלילי מכביד. נדון ל-34 חודשי מאסר בפועל. בית המשפט העליון דחה את הערעור.","ע""פ 3877/16",דיון - קביעת מתחם העונש ההולם,1
52,"בע""פ 4377/16 תורק נ' מדינת ישראל (6.10.16), נדחה ערעורו של נאשם אשר הורשע על פי הודאתו בעבירות של נשיאת נשק, מעשה פזיזות ורשלנות, איומים וירי באזור מגורים. בין הנאשם ומשפחתו לבין משפחה המתגוררת בשכנות התגלע סכסוך שכנים. בעקבות כך התפתחה תגרה בין המשפחות במסגרתה בני משפחת המתלוננים אחזו בסכינים. בעקבות כך הנאשם שב לביתו וחזר למקום כשהוא נושא בנשק ארוך והחל לירות לעבר שער ביתם של המתלוננים במטרה לאיים עליהם. הנאשם ירה 17 קליעים כשאחד מהם פגע בשער הבית. בית המשפט המחוזי קבע מתחם הנע בין 26 ל-42 חודשי מאסר בפועל והשית עליו עונש של 30 חודשי מאסר בפועל לצד ענישה נלווית. בית המשפט העליון לקח בחשבון כי המתלוננים איימו בסכינים על הנאשם ובני משפחתו וקבע כי מתחם העונש ראוי וכי אין מקום להתערב בעונש.","ע""פ 4377/16",דיון - קביעת מתחם העונש ההולם,1
53,"בע""פ 4595/13 זובידאת ואח' נ' מדינת ישראל (6.7.14), הקל בית המשפט העליון בעונשם של נאשמים אשר הורשעו על פי הודאתם בעבירות של נשיאה והובלת נשק, ירי באזור מגורים, איומים וקשירת קשר לפשע. הנאשמים הגיעו ברכב לחצר ביתו של המתלונן שעמו היה הנאשם 1 מסוכסך, כשהם נושאים אקדח ותחמושת והנאשם 2 ירה לעבר בית המתלונן. כתוצאה מכך פגעו מספר קליעים בקירות הבית ובחלון. בית המשפט המחוזי קבע מתחם עונש הנע בין 30 חודשי מאסר ל-5 שנות מאסר והשית עליהם עונש של 42 חודשי מאסר בפועל לצד ענישה נלווית. בית המשפט העליון הפנה לכך שירי, אף אם אינו מכוון לפגיעה, מייצר סיכון ממשי לשלום הציבור ואישר את מתחם העונש שנקבע. בית המשפט העליון הקל בעונשם של הנאשמים בשל נסיבות שאינן קשורות לביצוע העבירה והעמידו על 30 חודשי מאסר בפועל.","ע""פ 4595/13",דיון - קביעת מתחם העונש ההולם,1
